antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Fertilizer_Used'}),frozenset({'Rainfall_Category_Very High'}),0.49994,0.777353,0.388289,0.7766712005440652,0.999122921689458,1.0,-0.00034085881999995626,0.9969471046385612,-0.0017524095160041143,0.4367685634710305,-0.003062244072162289,0.6380863570067464
frozenset({'Yield_Category_Very High'}),frozenset({'Fertilizer_Used'}),0.424435,0.49994,0.294464,0.6937787882714668,1.3877241034353458,1.0,0.08227196610000001,1.633002485939171,0.4854285239736453,0.46746921390482155,0.3876310608156357,0.6413887340565239
frozenset({'Irrigation_Used'}),frozenset({'Rainfall_Category_Very High'}),0.499491,0.777353,0.388485,0.7777617614731798,1.0005258376479924,1.0,0.00020417267700001407,1.0018392940651861,0.0010500536215745512,0.4373063142265683,0.001835917273440955,0.6387577063229065
frozenset({'Yield_Category_Very High'}),frozenset({'Irrigation_Used'}),0.424435,0.499491,0.277442,0.6536737073992485,1.3086796506828922,1.0,0.065440537415,1.4451949236698347,0.40980785076584003,0.4291552459148254,0.3080518180477243,0.6045615774684209
frozenset({'Region_East'}),frozenset({'Rainfall_Category_Very High'}),0.249699,0.777353,0.19392,0.7766150445135944,0.9990506816254577,1.0,-0.00018426674699997814,0.9966964852901634,-0.0012648504393915753,0.2327602348727453,-0.0033144640907155237,0.5130385003323948
frozenset({'Region_North'}),frozenset({'Rainfall_Category_Very High'}),0.250173,0.777353,0.194546,0.7776458690586114,1.0003767516927464,1.0,7.326793100001505e-05,1.0013171289301959,0.0005022622609816822,0.23355422699224473,0.001315396383564467,0.5139565610799204
frozenset({'Region_South'}),frozenset({'Rainfall_Category_Very High'}),0.250054,0.777353,0.194378,0.7773440936757661,0.9999885427544064,1.0,-2.2270619999820163e-06,0.999959999604857,-1.527736907053226e-05,0.23333881533536047,-4.000199523861854e-05,0.5136976143728382
frozenset({'Region_West'}),frozenset({'Rainfall_Category_Very High'}),0.250074,0.777353,0.194509,0.7778057694922302,1.00058245030537,1.0,0.00011322587799997286,1.0020377193917034,0.0007762249268487031,0.23352718995147184,0.002033575535400324,0.5140127125849476
frozenset({'Soil_Type_Chalky'}),frozenset({'Rainfall_Category_Very High'}),0.166779,0.777353,0.129818,0.7783833696088835,1.0013254848297795,1.0,0.0001718440129999943,1.0046493334325368,0.0015886904499772185,0.15942007628506938,0.0046278171674605335,0.4726917163216547
frozenset({'Soil_Type_Clay'}),frozenset({'Rainfall_Category_Very High'}),0.166352,0.777353,0.129117,0.7761674040588632,0.9984748294003667,1.0,-0.00019722625599999377,0.994703202470794,-0.0018289572642322073,0.1585058950045913,-0.005325002991896424,0.4711328444396365
