antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Yield_Category_Medium', 'Irrigation_Used'})",frozenset({'Harvest_Time_Category_Medium Harvest'}),0.216632,0.544208,0.117926,0.544360943904871,1.0002810394277022,1.0,3.3132544000002984e-05,1.000335668996819,0.00035865706377258256,0.18342422159106817,0.00033555636095186495,0.3805269130190865
frozenset({'Harvest_Time_Category_Medium Harvest'}),"frozenset({'Yield_Category_Medium', 'Irrigation_Used'})",0.544208,0.216632,0.117926,0.21669288213330196,1.0002810394277022,1.0,3.3132544000002984e-05,1.0000777244734707,0.0006164225496134212,0.18342422159106817,7.771843284633135e-05,0.3805269130190865
frozenset({'Yield_Category_High'}),frozenset({'Rainfall_Category_Moderate Rainfall'}),0.40344,0.555344,0.356188,0.8828772556018243,1.5897844500018445,1.0,0.13214001664000002,3.796495738593075,0.6218719142610318,0.5910892206387033,0.7365992038830563,0.7621299470552843
frozenset({'Rainfall_Category_Moderate Rainfall'}),frozenset({'Yield_Category_High'}),0.555344,0.40344,0.356188,0.6413826385087442,1.5897844500018445,1.0,0.13214001664000002,1.6635000534254558,0.8343166609054214,0.5910892206387033,0.39885784918322414,0.7621299470552843
frozenset({'Yield_Category_High'}),frozenset({'Irrigation_Used'}),0.40344,0.499908,0.257628,0.6385782272456871,1.2773914945263671,1.0,0.05594511648,1.3836797827339316,0.36401140445114943,0.3989778851514588,0.27728943323565886,0.5769645258987024
frozenset({'Irrigation_Used'}),frozenset({'Yield_Category_High'}),0.499908,0.40344,0.257628,0.5153508245517175,1.2773914945263671,1.0,0.05594511648,1.2309109975235266,0.4342293886712399,0.3989778851514588,0.1875935774301286,0.5769645258987024
frozenset({'Yield_Category_High'}),frozenset({'Fertilizer_Used'}),0.40344,0.498874,0.273718,0.6784602419194924,1.359983165928656,1.0,0.07245227344000002,1.5585195528900264,0.44370521116798595,0.435443432665814,0.3583654448571665,0.6135659251908747
frozenset({'Fertilizer_Used'}),frozenset({'Yield_Category_High'}),0.498874,0.40344,0.273718,0.548671608462257,1.359983165928656,1.0,0.07245227344000002,1.3217869985254669,0.5282040460370719,0.435443432665814,0.24344845189462422,0.6135659251908747
frozenset({'Yield_Category_High'}),frozenset({'Harvest_Time_Category_Short Harvest'}),0.40344,0.455792,0.184246,0.45668748760658334,1.0019646847829347,1.0,0.00036127551999998175,1.0016481998594853,0.003286898828993543,0.27296269848559823,0.0016454877667791859,0.43046006001770526
frozenset({'Harvest_Time_Category_Short Harvest'}),frozenset({'Yield_Category_High'}),0.455792,0.40344,0.184246,0.4042326324288272,1.0019646847829347,1.0,0.00036127551999998175,1.0013304394835498,0.0036030936065335087,0.27296269848559823,0.0013286717661713085,0.43046006001770526
"frozenset({'Yield_Category_High', 'Irrigation_Used'})",frozenset({'Rainfall_Category_Moderate Rainfall'}),0.257628,0.555344,0.213522,0.8287996646327261,1.4924077051930447,1.0,0.070449835968,2.5972846317507807,0.44444269693416943,0.35619651347068143,0.6149825137470902,0.6066428384531
