,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
710,"frozenset({'14.73x', ""18-25, Unknown/Other, Bachelor's, Low, Not Certified""})",frozenset({'CB22x'}),0.0012076267582875513,0.17546306533090675,0.0011736091031245217,0.971830985915493,5.53866412901605,1.0,0.0009617152103397619,29.27106118075285,0.8204418362325258,0.00668734250823803,0.96583656486436,0.4892598124614301
772,"frozenset({""26-35, Unknown/Other, Bachelor's, Low, Not Certified"", '14.73x'})",frozenset({'CB22x'}),0.0011055737927984624,0.17546306533090675,0.001054547310053918,0.9538461538461538,5.436164882035374,1.0,0.000860559943419983,17.864966917830333,0.816949984839896,0.006008334140905126,0.9440245255085281,0.4799281176365317
528,"frozenset({""26-35, Unknown/Other, Bachelor's, Low, Not Certified""})",frozenset({'CB22x'}),0.0033167213783953874,0.17546306533090675,0.0027724388957869133,0.8358974358974358,4.763950945009494,1.0,0.0021904767958851085,5.024521945639784,0.7927194273889034,0.015751836103594895,0.8009760906969892,0.42584906692118785
166,"frozenset({'18-25, Nigeria, Secondary, Low, Not Certified'})",frozenset({'6.00x'}),0.0014117326892657289,0.4380283367067508,0.0011566002755430068,0.819277108433735,1.8703746761986793,1.0,0.0005382213537893914,3.1095765368893136,0.4660056408869118,0.0026389320086929523,0.6784128037574026,0.41095878875264974
1752,"frozenset({""26-35, Unknown/Other, Bachelor's, Low, Not Certified"", '6.00x'})",frozenset({'CB22x'}),0.0015478033099178474,0.17546306533090675,0.0012586532410320957,0.8131868131868132,4.634518447818176,1.0,0.0009870709277445867,4.4136977091110285,0.7854435642415609,0.007161521339398046,0.7734326032488047,0.41018006809011076
348,"frozenset({'18-25, Unknown/Other, Secondary, Low, Not Certified'})",frozenset({'CB22x'}),0.0033677478611399314,0.17546306533090675,0.0026363682751347948,0.7828282828282828,4.4614989562159,1.0,0.0020454529121575775,3.796704954987917,0.7784818147535433,0.01496283425041027,0.7366137185123508,0.39892674319777843
164,"frozenset({""18-25, Morocco, Master's, Low, Not Certified""})",frozenset({'6.00x'}),0.001394723861684214,0.4380283367067508,0.0010375384824724031,0.7439024390243902,1.6982975225240158,1.0,0.00042660990917365053,2.1943655423831636,0.4117492993604963,0.002366726158143866,0.5442874121537825,0.37313554755164685
1008,"frozenset({'CS50x', ""18-25, India, Bachelor's, Medium, Not Certified""})",frozenset({'6.00x'}),0.0013777150341026992,0.4380283367067508,0.0010205296548908883,0.7407407407407407,1.6910795002667793,1.0,0.00041705143004699854,2.1676049869882466,0.4092255416269247,0.0023279273686660977,0.5386613308223477,0.37153528319606055
530,"frozenset({""26-35, Unknown/Other, Master's, Low, Not Certified""})",frozenset({'CB22x'}),0.0013607062065211844,0.17546306533090675,0.0010035208273093735,0.7375,4.203163774718884,1.0,0.0007647671452983766,3.141093084453689,0.7631223645501082,0.0057076521234400695,0.6816394888297543,0.37160963551764253
941,"frozenset({""18-25, Egypt, Bachelor's, Low, Not Certified"", '6.002x'})",frozenset({'6.00x'}),0.004456312826356879,0.4380283367067508,0.0032316772404878133,0.7251908396946565,1.6555797397649958,1.0,0.00127968594531375,2.0449524414282125,0.39775449626783477,0.007357212003872218,0.5109910725837754,0.36628431046201393
1094,"frozenset({'18-25, India, Secondary, Medium, Not Certified', '8.02x'})",frozenset({'6.002x'}),0.002551324137227221,0.2925008079193101,0.001836953378803599,0.72,2.461531662499273,1.0,0.0010906890074006,2.5267828288596066,0.5952675984819633,0.006264864551308081,0.604239830752957,0.3631400825725417
940,"frozenset({'6.00x', ""18-25, Egypt, Bachelor's, Low, Not Certified""})",frozenset({'6.002x'}),0.004490330481519909,0.2925008079193101,0.0032316772404878133,0.7196969696969697,2.460495664324821,1.0,0.0019182519468185352,2.524051171747326,0.5962552077197899,0.011001100110011004,0.6038115188814775,0.36537270418906753
1002,"frozenset({""18-25, India, Bachelor's, Medium, Not Certified"", '8.02x'})",frozenset({'6.002x'}),0.0025343153096457063,0.2925008079193101,0.0018199445512220842,0.7181208053691275,2.455107083216091,1.0,0.0010786552756284385,2.5099376100005424,0.5941916598617859,0.006206856546203376,0.6015837222345204,0.36217141041847084
1320,"frozenset({""18-25, United States, Master's, Low, Not Certified"", 'CS50x'})",frozenset({'6.00x'}),0.0016328474478254215,0.4380283367067508,0.0011566002755430068,0.7083333333333333,1.6170947721301077,1.0,0.0004413668238761744,1.9267599884339968,0.38223117926660244,0.0026376013343159693,0.48099399717514113,0.35548690120244886
946,"frozenset({'18-25, Egypt, Secondary, Low, Not Certified', '6.00x'})",frozenset({'6.002x'}),0.002704403585460854,0.2925008079193101,0.0019049886891296583,0.7044025157232705,2.4082070772180173,1.0,0.0011139484554424795,2.3934547136346747,0.5863390146623851,0.006495012758060774,0.5821938914058622,0.3554576397887156
