antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.0361176164454853,0.05912047879260994,0.018787405672651573,0.5201729106628241,8.798523308438526,1.0,0.01665211489554664,1.9608720351889746,0.9195567627732898,0.24574540503744047,0.4900228153319412,0.41897730040183456
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),0.05912047879260994,0.0361176164454853,0.018787405672651573,0.31778169014084506,8.798523308438527,1.0,0.01665211489554664,1.4128650164102305,0.942038320887444,0.24574540503744047,0.29221830225454015,0.41897730040183456
frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.03179807442102524,0.05912047879260994,0.018579234972677595,0.5842880523731587,9.883006097139301,1.0,0.01669931758822354,2.263296801014627,0.9283354924425157,0.2568345323741007,0.558166653374094,0.4492743078767202
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),0.05912047879260994,0.03179807442102524,0.018579234972677595,0.3142605633802817,9.883006097139301,1.0,0.01669931758822354,1.411909354887953,0.9552936280436176,0.2568345323741007,0.2917392348608962,0.4492743078767202
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 60 MUSHROOM CAKE CASES'}),0.05912047879260994,0.023211033047098623,0.010616705698672912,0.1795774647887324,7.736728667971957,1.0,0.00924445831165735,1.1905925605777854,0.9254600451829608,0.14804063860667635,0.160082102718072,0.3184882839638729
frozenset({'PACK OF 60 MUSHROOM CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.023211033047098623,0.05912047879260994,0.010616705698672912,0.45739910313901344,7.736728667971957,1.0,0.00924445831165735,1.7340176299937848,0.8914375916065185,0.14804063860667635,0.42330459465767706,0.3184882839638729
frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.04829560239396305,0.05912047879260994,0.024355971896955503,0.5043103448275862,8.530214151287032,1.0,0.02150071275984689,1.8981221645227346,0.9275670587531472,0.2932330827067669,0.47316351987732,0.45814108790675084
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),0.05912047879260994,0.04829560239396305,0.024355971896955503,0.4119718309859155,8.530214151287034,1.0,0.02150071275984689,1.618467358803081,0.9382387744575919,0.2932330827067669,0.38213149955675435,0.45814108790675084
frozenset({'PACK OF 60 SPACEBOY CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.026697892271662763,0.05912047879260994,0.012854540723393183,0.4814814814814815,8.144072769953052,1.0,0.01127614854953896,1.8145533623285381,0.9012734137854446,0.17617689015691868,0.4489001972822981,0.34945552947313513
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 60 SPACEBOY CAKE CASES'}),0.05912047879260994,0.026697892271662763,0.012854540723393183,0.21742957746478875,8.144072769953052,1.0,0.01127614854953896,1.2437246280983028,0.9323311789709268,0.17617689015691868,0.19596349753961695,0.34945552947313513
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),0.05912047879260994,0.06036950299245381,0.024876398646890452,0.420774647887324,6.969986947547354,1.0,0.021307324725504683,1.6222192167181955,0.9103479128446259,0.2629262926292629,0.3835605017532501,0.4164218067022827
frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.06036950299245381,0.05912047879260994,0.024876398646890452,0.4120689655172414,6.969986947547354,1.0,0.021307324725504683,1.600322939297027,0.9115580125349206,0.2629262926292629,0.37512612270666484,0.4164218067022827
frozenset({'PACK OF 72 SKULL CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.03492063492063492,0.05912047879260994,0.01504033307311996,0.4307004470938897,7.285131241997439,1.0,0.012975808416870089,1.6526967506025099,0.8939514660353306,0.19038208168642953,0.3949283196476072,0.342550927772297
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 72 SKULL CAKE CASES'}),0.05912047879260994,0.03492063492063492,0.01504033307311996,0.25440140845070425,7.28513124199744,1.0,0.012975808416870089,1.2943685463165984,0.916944299251019,0.19038208168642953,0.22742251204596,0.342550927772297
frozenset({'SET OF 36 TEATIME PAPER DOILIES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.021129326047358836,0.05912047879260994,0.011449388498568826,0.541871921182266,9.165553666828558,1.0,0.010200212626083808,2.0537477720978514,0.9101261968400042,0.16641452344931923,0.5130852904207778,0.36776694650662595
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'SET OF 36 TEATIME PAPER DOILIES'}),0.05912047879260994,0.021129326047358836,0.011449388498568826,0.1936619718309859,9.165553666828556,1.0,0.010200212626083808,1.2139706174783846,0.94687558141289,0.16641452344931923,0.17625683389507119,0.36776694650662595
frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.06947697111631537,0.05912047879260994,0.011605516523549311,0.16704119850187268,2.8254371736034187,1.0,0.007498004726092415,1.129563094255275,0.6943111024167093,0.09919928825622779,0.11470195415750227,0.18167200770164058
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),0.05912047879260994,0.06947697111631537,0.011605516523549311,0.19630281690140847,2.8254371736034187,1.0,0.007498004726092415,1.157803023890324,0.6866686493285449,0.09919928825622779,0.13629522521032236,0.18167200770164058
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.1572209211553474,0.05912047879260994,0.014780119698152485,0.09400860642171466,1.590119165839126,1.0,0.00548514356323317,1.038508232943926,0.44034827713968133,0.07332816937774336,0.037080334774779976,0.17200430321085733
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.05912047879260994,0.1572209211553474,0.014780119698152485,0.25,1.590119165839126,1.0,0.00548514356323317,1.1237054384595369,0.3944355329387687,0.07332816937774336,0.11008706928492033,0.17200430321085733
frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),0.03179807442102524,0.0361176164454853,0.012646370023419205,0.39770867430441903,11.011487286396846,1.0,0.011497899367775618,1.6003590661733929,0.9390455877889883,0.22881355932203393,0.37514022875435515,0.37392638326171956
frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),0.0361176164454853,0.03179807442102524,0.012646370023419205,0.35014409221902015,11.011487286396846,1.0,0.011497899367775618,1.4898716992279568,0.9432538262095101,0.22881355932203393,0.3288012648886515,0.37392638326171956
frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),0.04829560239396305,0.0361176164454853,0.015404631798074421,0.31896551724137934,8.831300308059227,1.0,0.013660309754805602,1.4153209682572623,0.9317666219837161,0.2232277526395173,0.2934464885153666,0.3727392427705456
frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),0.0361176164454853,0.04829560239396305,0.015404631798074421,0.4265129682997118,8.831300308059227,1.0,0.013660309754805602,1.659504653112034,0.9199943964265546,0.2232277526395173,0.3974105477048702,0.3727392427705456
frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),0.0361176164454853,0.06036950299245381,0.01483216237314598,0.4106628242074928,6.802488075126702,1.0,0.012651759819059957,1.594385244311093,0.88495752095535,0.18164435946462718,0.3727990123039033,0.3281762396899533
frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),0.06036950299245381,0.0361176164454853,0.01483216237314598,0.2456896551724138,6.802488075126702,1.0,0.012651759819059957,1.2778326456265567,0.9077982966277506,0.18164435946462718,0.21742490816575408,0.3281762396899533
frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),frozenset({'PACK OF 72 SKULL CAKE CASES'}),0.0361176164454853,0.03492063492063492,0.010460577673692429,0.2896253602305476,8.293817133874771,1.0,0.009199327575596116,1.358549856724299,0.9123812931455245,0.17268041237113405,0.263921014712574,0.29458913317041535
frozenset({'PACK OF 72 SKULL CAKE CASES'}),frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),0.03492063492063492,0.0361176164454853,0.010460577673692429,0.2995529061102832,8.293817133874771,1.0,0.009199327575596116,1.3760959135427222,0.9112496726891857,0.17268041237113405,0.27330646784240004,0.29458913317041535
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.015873015873015872,0.015404631798074421,0.010460577673692429,0.6590163934426231,42.78040540540541,1.0,0.010216059708643628,2.887515262515264,0.9923768255496709,0.5025000000000001,0.6536814842222106,0.6690352237483386
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.015404631798074421,0.015873015873015872,0.010460577673692429,0.6790540540540541,42.78040540540541,1.0,0.010216059708643628,3.0663324979114455,0.9919047397401699,0.5025000000000001,0.6738775065387967,0.6690352237483386
